hash_name,cost_price,profit_rub,profit_percent
MP9 | Dark Age (Factory New),8326,1150,14.000000000000002
Glock-18 | Ironwork (Factory New),127,-4,-3.0
Galil AR | Eco (Field-Tested),298,16,5.0
Sticker | Baby Howl,69,2,3.0
Souvenir MAC-10 | Strats (Factory New),20,0,0.0
StatTrak™ XM1014 | Watchdog (Minimal Wear),268,83,31.0
StatTrak™ M4A4 | Tooth Fairy (Minimal Wear),921,71,8.0
Glock-18 | Bullet Queen (Well-Worn),427,24,6.0
StatTrak™ Tec-9 | Isaac (Field-Tested),203,-29,-14.000000000000002
PP-Bizon | Fuel Rod (Minimal Wear),105,-8,-8.0
P250 | Asiimov (Field-Tested),267,-6,-2.0
P2000 | Oceanic (Factory New),20,9,45.0
★ Ursus Knife | Night Stripe (Battle-Scarred),10108,1624,16.0
XM1014 | Blue Steel (Factory New),35,0,0.0
StatTrak™ UMP-45 | Delusion (Factory New),431,153,35.0
StatTrak™ MAC-10 | Lapis Gator (Field-Tested),47,6,13.0
StatTrak™ FAMAS | Macabre (Field-Tested),282,111,39.0
Dual Berettas | Royal Consorts (Field-Tested),33,6,18.0
★ Specialist Gloves | Field Agent (Field-Tested),24661,307,1.0
StatTrak™ P250 | Inferno (Field-Tested),91,18,20.0
Five-SeveN | Buddy (Factory New),146,11,8.0
Negev | Bratatat (Minimal Wear),143,8,6.0
StatTrak™ AWP | Exoskeleton (Minimal Wear),866,25,3.0
StatTrak™ Dual Berettas | Hemoglobin (Factory New),2229,73,3.0
Sticker | Twistzz (Holo) | Paris 2023,476,23,5.0
Col. Mangos Dabisi | Guerrilla Warfare,1172,54,5.0
StatTrak™ M4A4 | Tooth Fairy (Field-Tested),475,95,20.0
AK-47 | Asiimov (Field-Tested),2134,173,8.0
StatTrak™ AUG | Aristocrat (Field-Tested),128,18,14.000000000000002
M4A4 | Royal Paladin (Field-Tested),539,133,25.0
Sticker | Cloud9 (Holo) | Rio 2022,561,62,11.0
StatTrak™ AK-47 | Ice Coaled (Field-Tested),1204,17,1.0
"Sticker | karrigan (Holo, Champion) | Antwerp 2022",72,5,7.000000000000001
★ Nomad Knife | Fade (Factory New),102926,1470,1.0
★ Karambit | Fade (Factory New),249306,-1119,-0.0
StatTrak™ MAC-10 | Tatter (Field-Tested),1079,184,17.0
StatTrak™ Glock-18 | Wraiths (Battle-Scarred),39,-7,-18.0
Souvenir SCAR-20 | Storm (Battle-Scarred),47,-8,-17.0
P90 | Chopper (Well-Worn),55,-4,-7.000000000000001
G3SG1 | The Executioner (Battle-Scarred),114,-15,-13.0
AUG | Storm (Factory New),53,109,206.0
Dual Berettas | Balance (Factory New),244,66,27.0
★ Hand Wraps | Overprint (Field-Tested),21206,1348,6.0
★ Flip Knife | Lore (Minimal Wear),38589,9567,25.0
MAG-7 | Metallic DDPAT (Factory New),20,-2,-10.0
"Sticker | apEX (Holo, Champion) | Paris 2023",43,-8,-19.0
Sticker | MOUZ (Glitter) | Paris 2023,60,-9,-15.0
Sticker | Dragon Tale,19,-2,-11.0
StatTrak™ M4A1-S | Briefing (Minimal Wear),1215,167,14.000000000000002
StatTrak™ Desert Eagle | Oxide Blaze (Factory New),157,-2,-1.0
SCAR-20 | Outbreak (Factory New),27,1,4.0
"Sticker | dupreeh (Gold, Champion) | Paris 2023",209,-31,-15.0
StatTrak™ UMP-45 | Momentum (Field-Tested),562,104,19.0
StatTrak™ MP7 | Cirrus (Field-Tested),25,0,0.0
StatTrak™ P2000 | Acid Etched (Well-Worn),74,-4,-5.0
★ Navaja Knife,12730,-380,-3.0
StatTrak™ Glock-18 | Bunsen Burner (Field-Tested),74,23,31.0
StatTrak™ G3SG1 | Orange Crash (Factory New),74,10,14.000000000000002
StatTrak™ CZ75-Auto | Twist (Minimal Wear),191,22,12.0
StatTrak™ FAMAS | Rapid Eye Movement (Field-Tested),272,89,33.0
Glock-18 | Snack Attack (Factory New),1693,139,8.0
P2000 | Acid Etched (Field-Tested),36,-4,-11.0
Osiris | Elite Crew,161,51,32.0
MAC-10 | Malachite (Factory New),297,28,9.0
"Music Kit | Perfect World, 花脸 Hua Lian (Painted Face)",288,-27,-9.0
M4A4 | Tooth Fairy (Field-Tested),242,20,8.0
Sealed Graffiti | Broken Heart (Shark White),43,-2,-5.0
SSG 08 | Necropos (Well-Worn),40,0,0.0
M4A4 | Spider Lily (Minimal Wear),401,20,5.0
StatTrak™ Glock-18 | Oxide Blaze (Minimal Wear),36,-6,-17.0
Glock-18 | Nuclear Garden (Field-Tested),285,28,10.0
★ Sport Gloves | Bronze Morph (Field-Tested),12607,2374,19.0
M4A4 | Neo-Noir (Field-Tested),446,5,1.0
MP7 | Cirrus (Factory New),53,8,15.0
